name,trip_count,route_count,geometry
(Theneyuru)I Basapura Gate,30,6,POINT (77.83624 13.22602)
10th Cross Lingadhiranahalli,132,33,POINT (77.47431 13.00951)
10th Cross Magadi Road,140,38,POINT (77.55706 12.97574)
10th Stone NICE Road,82,19,POINT (77.4986 12.87273)
12th Block Nagarabhavi,21,7,POINT (77.51398 12.96018)
14th Main HSR Layout,12,8,POINT (77.63521 12.91619)
18th Main Jayanagara,66,18,POINT (77.58964 12.92343)
19th Main 13th Cross HSR Layout,12,5,POINT (77.65175 12.91582)
1st Block Rajajinagara,126,27,POINT (77.54909 13.0047)
1st Block Vidyaranyapura,10,3,POINT (77.5555 13.07021)
1st Block Vishweshwaraiah Layout,7,2,POINT (77.4789 12.93752)
1st Cross Magadi Road,12,6,POINT (77.563 12.97569)
1st Main Kodichikkanahalli,8,5,POINT (77.6155 12.89847)
1st Stage 3rd Block Nagarabhavi,14,3,POINT (77.52158 12.9533)
1st Stage 3rd Block Nagarabhavi (Nayandahalli),8,3,POINT (77.52026 12.95302)
1st Stage 3rd Block Nagarabhavi (Summanahalli),102,30,POINT (77.52017 12.95286)
2nd Stage 9th Block Nagarabhavi,9,5,POINT (77.51027 12.96864)
2nd Stage Kanteeravanagara,5,3,POINT (77.53901 13.01505)
2nd stage Kuvempunagara,84,22,POINT (77.54142 13.07306)
3rd Block Jayanagara,16,4,POINT (77.58392 12.9318)
3rd Block Vidyaranyapura,87,18,POINT (77.55647 13.07237)
3rd Main Road Annapoorneshwarinagara,20,5,POINT (77.50434 12.97816)
3rd Stage Basaveshwaranagara,2,2,POINT (77.54254 12.98898)
4th T Block Jayanagara,44,11,POINT (77.59345 12.92308)
5th Block Jayanagara,5,5,POINT (77.58368 12.91732)
5th Cross Magadi Road,15,5,POINT (77.56081 12.97567)
5th Phase Yelahanka New Town,2,1,POINT (77.57251 13.10575)
6th Block Rajajinagara,9,7,POINT (77.55359 12.97944)
7th Cross Wilson Garden,77,35,POINT (77.59436 12.94699)
80 feet Road Kalyananagara,27,16,POINT (77.64042 13.02546)
80ft Road Banasawadi,8,5,POINT (77.6429 13.01538)
80ft Road HRBR Layout,7,3,POINT (77.64328 13.02035)
80ft Road Junction Kariyanapalya,54,29,POINT (77.51449 12.8921)
80ft Road MS Ramaiah College,4,1,POINT (77.57571 13.02752)
8th Main 3rd Cross  Junction,3,1,POINT (77.63714 13.02248)
8th Main Kamalanagara,19,4,POINT (77.53856 12.99178)
8th Mile Dasarahalli,108,33,POINT (77.50755 13.04622)
9th Block Jayanagara,204,65,POINT (77.5928 12.91964)
9th Block Jayanagara (40th Cross),147,41,POINT (77.59247 12.91969)
9th Stone NICE Road,96,41,POINT (77.48532 12.88789)
A G Export Garments Nelamangala,5,2,POINT (77.39237 13.12046)
A P J Abdul Kalam Statue,14,6,POINT (77.65404 12.97972)
AECS Dental College,3,3,POINT (77.59831 12.86534)
AECS Layout Cross,60,10,POINT (77.71832 12.96495)
AGS Layout,2,2,POINT (77.47921 12.95163)
AGS Layout Arehalli,86,19,POINT (77.53704 12.91252)
AGS Layout Cross,36,17,POINT (77.54088 12.91347)
AIR FORCE Quarters,34,5,POINT (77.52139 13.05895)
