name,trip_count,route_count,id,geometry
(Theneyuru)I Basapura Gate,19,1,3qw,POINT (77.83624 13.22602)
10th Cross Magadi Road,65,14,1i2,POINT (77.55706 12.97574)
10th Cross Magadi Road,70,22,x9,POINT (77.55562 12.97556)
10th Stone NICE Road,1,1,2al,POINT (77.49865 12.87242)
11th Block Anjanapura,5,1,2ee,POINT (77.57265 12.85224)
12th Block Nagarabhavi,15,5,1p3,POINT (77.51398 12.96018)
12th Block Nagarabhavi,17,8,2z0,POINT (77.51351 12.96076)
14th Main HSR Layout,82,11,250,POINT (77.63472 12.91637)
14th Main HSR Layout,103,13,2b0,POINT (77.63521 12.91619)
18th Main Jayanagara,2,2,3b6,POINT (77.58964 12.92343)
18th Main Jayanagara,2,2,5x,POINT (77.58898 12.92328)
19th Main 13th Cross HSR Layout,9,3,42o,POINT (77.65175 12.91582)
1st Block Rajajinagara,55,6,8m,POINT (77.54887 13.00515)
1st Block Rajajinagara,9,6,u2,POINT (77.54909 13.0047)
1st Block Vidyaranyapura,11,4,1cj,POINT (77.5555 13.07021)
1st Block Vidyaranyapura,21,9,1xh,POINT (77.55539 13.07023)
1st Block Vishweshwaraiah Layout,9,1,1ul,POINT (77.4789 12.93752)
1st Block Vishweshwaraiah Layout,1,1,2dy,POINT (77.47876 12.93747)
1st Cross Magadi Road,67,20,3n4,POINT (77.563 12.97569)
1st Cross Magadi Road,66,14,lw,POINT (77.5628 12.97569)
1st Main Kodichikkanahalli,1,1,17h,POINT (77.6155 12.89847)
1st Stage 3rd Block Nagarabhavi (Nayandahalli),13,3,1ll,POINT (77.52026 12.95302)
1st Stage 3rd Block Nagarabhavi (Summanahalli),13,3,ou,POINT (77.52017 12.95286)
2nd Stage 9th Block Nagarabhavi,1,1,1k7,POINT (77.51027 12.96864)
2nd Stage H B R Layout (1st Main),5,1,3j5,POINT (77.61553 13.02881)
2nd Stage HBR Layout (2nd Cross),5,1,2m3,POINT (77.61209 13.03165)
2nd Stage Kanteeravanagara,9,2,2g5,POINT (77.53901 13.01505)
2nd stage Kuvempunagara,3,2,2sa,POINT (77.54142 13.07306)
2nd stage Kuvempunagara,11,3,418,POINT (77.54132 13.07313)
3rd Block Jayanagara,64,17,1re,POINT (77.58392 12.9318)
3rd Block Jayanagara,38,11,3x4,POINT (77.58396 12.93349)
3rd Block Jn Banashankari 6th Phase,1,1,d7,POINT (77.51657 12.87821)
3rd Block Vidyaranyapura,9,2,1cl,POINT (77.55647 13.07237)
3rd Block Vidyaranyapura,20,8,39x,POINT (77.55637 13.07223)
3rd Main Road Annapoorneshwarinagara,1,1,32p,POINT (77.50446 12.97811)
3rd Stage Basaveshwaranagara,1,1,1jj,POINT (77.54249 12.98912)
4th Block HBR Layout,1,1,23b,POINT (77.63268 13.03437)
4th T Block Jayanagara,2,2,294,POINT (77.59353 12.92307)
4th T Block Jayanagara,2,2,3ha,POINT (77.59345 12.92308)
5th Block HBR Layout,1,1,1iv,POINT (77.6315 13.03582)
5th Block Jayanagara,11,5,2ci,POINT (77.58356 12.91722)
5th Block Jayanagara,11,5,kq,POINT (77.58368 12.91732)
5th Cross Magadi Road,70,22,2zn,POINT (77.56081 12.97567)
5th Cross Magadi Road,65,14,3cz,POINT (77.56071 12.97578)
5th Phase Yelahanka New Town,42,10,2rn,POINT (77.57251 13.10575)
6th Block Rajajinagara,70,11,171,POINT (77.55359 12.97944)
6th Block Rajajinagara,74,8,4av,POINT (77.55377 12.97953)
7th Cross Wilson Garden,69,15,1je,POINT (77.59436 12.94699)
7th Cross Wilson Garden,184,38,34j,POINT (77.59465 12.94684)
80 feet Road Kalyananagara,45,11,1xx,POINT (77.64042 13.02546)
80 feet Road Kalyananagara,31,6,2cl,POINT (77.6406 13.02564)
80ft Road Banasawadi,1,1,15d,POINT (77.6429 13.01538)
80ft Road HRBR Layout,1,1,cx,POINT (77.64328 13.02035)
80ft Road MS Ramaiah College,1,1,352,POINT (77.57571 13.02752)
8th Main 3rd Cross  Junction,1,1,45f,POINT (77.63723 13.02254)
8th Main Kamalanagara,4,4,24d,POINT (77.53839 12.99163)
8th Main Kamalanagara,34,4,j8,POINT (77.53856 12.99178)
8th Mile Dasarahalli,166,31,1nq,POINT (77.50795 13.04541)
8th Mile Dasarahalli,154,39,1p8,POINT (77.50748 13.0451)
8th Mile Dasarahalli,108,35,2ce,POINT (77.50755 13.04622)
